soil_label,climate_zone,temp_c_mean,rain_mm_year,rel_humidity_pct,ph,organic_carbon_pct,n_kg_ha,p_kg_ha,k_kg_ha,cec_cmol_kg,ec_ds_m,soil_moisture_pct,sand_pct,silt_pct,clay_pct,recommended_crop
Alluvial_Soil,Monsoon,23.9,1814,77,7.78,1.34,131,39,218,23.7,0.92,34.4,47.0,18.1,34.9,sugarcane
Alluvial_Soil,Temperate,10.5,914,65,6.95,0.75,121,32,85,22.1,0.69,34.8,32.2,30.4,37.4,vegetables
Alluvial_Soil,Temperate,5.7,661,37,6.64,1.41,121,49,172,23.3,0.94,31.6,27.9,39.3,32.8,rice
Alluvial_Soil,Temperate,22.0,870,45,7.61,1.02,122,51,200,15.9,0.79,24.7,37.0,18.9,44.1,wheat
Alluvial_Soil,Temperate,12.8,496,58,7.8,1.44,119,44,88,23.9,0.7,20.3,42.1,36.7,21.2,wheat
Alluvial_Soil,Subtropical,27.0,1087,51,7.67,0.88,91,42,125,23.8,0.73,30.6,23.0,48.9,28.1,maize
Alluvial_Soil,Temperate,20.0,949,53,7.12,1.79,107,47,116,23.7,0.99,21.1,40.2,52.1,7.7,cotton
Alluvial_Soil,Monsoon,20.6,1220,57,7.09,1.22,125,52,124,12.7,0.31,24.5,37.8,38.0,24.2,sugarcane
Alluvial_Soil,Monsoon,20.0,1561,72,6.93,1.12,104,52,145,15.4,0.52,22.1,36.8,25.4,37.8,rice
Alluvial_Soil,Monsoon,20.7,1080,87,6.51,0.83,128,53,84,13.4,0.82,22.1,32.5,55.2,12.3,vegetables
Alluvial_Soil,Subtropical,17.1,1427,58,7.28,1.78,66,34,183,16.1,1.0,28.2,53.9,23.1,23.0,wheat
Alluvial_Soil,Monsoon,29.9,1860,66,7.66,1.31,125,29,97,13.9,0.89,20.9,30.6,44.9,24.5,vegetables
Alluvial_Soil,Temperate,15.2,835,46,6.57,1.31,70,32,128,22.9,0.22,28.1,23.2,41.2,35.6,vegetables
Alluvial_Soil,Subtropical,27.2,1485,57,7.17,0.61,113,21,192,18.8,0.61,19.6,46.1,37.6,16.3,wheat
Alluvial_Soil,Subtropical,26.7,1391,55,7.17,1.49,112,49,155,19.4,0.3,33.4,49.3,29.4,21.3,maize
Alluvial_Soil,Temperate,21.9,676,48,7.29,1.3,123,35,137,19.8,1.14,25.9,32.1,39.4,28.5,maize
Alluvial_Soil,Subtropical,14.0,1278,75,6.86,0.84,139,27,147,18.1,0.46,18.8,16.6,53.6,29.8,rice
Alluvial_Soil,Temperate,22.1,1089,74,7.74,0.69,102,36,99,16.0,0.75,19.6,33.4,44.9,21.7,sugarcane
Alluvial_Soil,Subtropical,17.9,934,56,7.49,1.53,63,28,165,13.6,1.1,19.7,38.3,27.0,34.7,cotton
Alluvial_Soil,Subtropical,18.8,1078,50,6.82,0.79,136,21,212,23.5,0.98,26.8,31.5,33.4,35.1,vegetables
Arid_Soil,Semi-arid,20.9,444,31,7.55,0.12,43,10,79,8.9,2.36,11.6,40.6,40.7,18.7,sorghum
Arid_Soil,Arid,28.2,209,34,8.25,0.58,75,27,85,14.3,1.87,13.7,59.9,18.7,21.4,barley
Arid_Soil,Arid,38.6,114,37,7.85,0.5,60,21,68,14.6,1.59,8.1,45.5,19.3,35.2,chickpea
Arid_Soil,Arid,28.6,198,27,7.99,0.53,48,21,121,14.2,1.82,13.8,51.5,22.1,26.4,millet
Arid_Soil,Arid,27.9,90,38,8.4,0.25,75,23,80,8.5,1.0,9.4,66.3,15.0,18.7,chickpea
Arid_Soil,Semi-arid,23.8,592,37,8.16,0.11,27,20,108,13.9,2.37,11.3,72.2,19.5,8.3,barley
Arid_Soil,Semi-arid,34.6,545,54,8.24,0.56,34,25,72,10.1,1.3,13.7,66.6,17.1,16.3,sorghum
Arid_Soil,Semi-arid,24.1,529,50,7.39,0.56,49,21,74,9.5,3.5,8.3,46.5,23.4,30.1,barley
Arid_Soil,Arid,37.9,183,18,8.37,0.21,29,17,121,10.5,2.59,13.8,48.8,28.4,22.8,chickpea
Arid_Soil,Arid,34.1,121,39,8.36,0.59,53,29,110,8.9,2.77,15.6,69.1,17.8,13.1,chickpea
Arid_Soil,Semi-arid,18.0,403,48,7.25,0.49,65,26,101,7.3,3.1,15.9,58.8,18.1,23.1,chickpea
Arid_Soil,Semi-arid,26.4,379,32,7.49,0.55,30,30,74,6.8,1.11,8.1,58.2,23.2,18.6,millet
Arid_Soil,Semi-arid,33.7,317,32,8.12,0.27,35,24,60,11.0,3.0,14.5,67.9,21.2,10.9,millet
Arid_Soil,Arid,28.9,104,31,7.64,0.44,54,22,141,6.6,0.6,8.5,47.9,27.1,25.0,cactus_fruit
Arid_Soil,Semi-arid,28.5,318,45,7.5,0.16,45,12,72,7.6,0.99,16.3,72.4,17.8,9.8,cactus_fruit
Arid_Soil,Arid,23.8,71,18,8.07,0.17,45,12,163,12.8,2.98,12.3,67.4,19.1,13.5,barley
Arid_Soil,Arid,31.0,149,44,7.73,0.34,68,21,116,8.9,1.16,7.2,68.3,20.4,11.3,date_palm
Arid_Soil,Semi-arid,23.9,408,42,7.85,0.5,27,16,127,8.9,1.6,10.5,66.2,13.3,20.5,date_palm
Arid_Soil,Arid,38.7,169,35,7.27,0.67,71,17,72,11.2,0.61,6.5,78.5,5.0,16.5,millet
Arid_Soil,Arid,28.0,226,26,7.99,0.26,76,23,79,13.0,2.04,12.4,72.2,23.7,4.1,barley
Arid_Soil,Arid,30.7,163,44,8.05,0.35,77,16,75,7.1,2.9,16.1,69.2,10.5,20.3,barley
Arid_Soil,Semi-arid,24.8,467,26,7.85,0.41,45,29,85,7.3,1.15,10.1,42.0,17.6,40.4,millet
Arid_Soil,Semi-arid,25.7,401,26,7.95,0.7,49,30,139,12.4,1.48,16.8,64.2,25.2,10.6,date_palm
Arid_Soil,Semi-arid,25.2,406,27,8.56,0.29,22,26,82,8.6,3.4,7.1,75.2,8.3,16.5,sorghum
Arid_Soil,Arid,31.8,230,44,8.19,0.39,47,18,164,9.3,1.74,7.1,55.3,18.0,26.7,date_palm
Arid_Soil,Arid,38.9,245,22,7.27,0.19,43,29,67,7.8,2.25,16.9,54.9,7.2,37.9,millet
Arid_Soil,Semi-arid,22.1,403,53,7.73,0.56,27,20,111,8.9,2.49,14.1,78.3,13.5,8.2,date_palm
Arid_Soil,Arid,31.1,137,45,7.88,0.39,31,29,111,6.6,2.32,8.7,65.9,10.5,23.6,millet
Arid_Soil,Semi-arid,32.1,400,44,8.4,0.48,38,15,112,12.0,3.39,10.5,57.8,14.0,28.2,cactus_fruit
Arid_Soil,Arid,33.3,199,42,7.58,0.17,60,10,175,7.4,1.17,9.5,59.2,22.7,18.1,sorghum
Arid_Soil,Semi-arid,23.5,295,42,8.19,0.14,45,19,89,12.7,2.96,11.4,59.0,20.3,20.7,cactus_fruit
Arid_Soil,Arid,26.9,76,28,7.62,0.32,67,28,88,12.9,3.3,12.0,37.6,18.8,43.6,chickpea
Arid_Soil,Semi-arid,18.3,417,40,7.77,0.44,66,20,137,7.0,1.25,15.5,45.6,16.5,37.9,cactus_fruit
Arid_Soil,Semi-arid,24.2,445,34,7.44,0.22,71,25,67,14.5,1.77,16.0,73.0,13.2,13.8,barley
Arid_Soil,Semi-arid,22.2,347,54,7.57,0.36,80,17,144,13.0,2.84,10.5,67.7,16.5,15.8,millet
Arid_Soil,Arid,23.6,129,37,7.72,0.21,35,11,83,9.7,1.99,16.3,69.3,19.4,11.3,millet
Arid_Soil,Arid,23.8,144,21,7.46,0.38,34,14,83,14.2,2.93,9.2,35.6,47.7,16.7,barley
Arid_Soil,Arid,24.9,178,38,7.5,0.65,68,22,162,13.6,1.26,6.6,74.5,20.0,5.5,barley
Arid_Soil,Arid,37.8,155,37,8.35,0.55,57,14,111,8.1,2.06,12.1,58.7,25.7,15.6,millet
Arid_Soil,Arid,36.3,242,37,8.49,0.69,27,17,102,11.7,1.97,17.8,61.8,18.3,19.9,sorghum
Arid_Soil,Arid,35.9,117,33,8.12,0.6,77,8,115,12.4,2.23,11.9,62.5,31.3,6.2,date_palm
Arid_Soil,Arid,35.4,227,21,7.94,0.57,33,26,89,8.1,0.68,17.5,63.1,15.2,21.7,barley
Arid_Soil,Semi-arid,32.6,372,42,7.4,0.68,30,28,142,9.0,1.09,8.5,79.1,11.6,9.3,chickpea
Arid_Soil,Arid,33.4,226,34,7.93,0.53,76,17,114,9.1,1.96,8.0,81.2,8.3,10.5,barley
Arid_Soil,Semi-arid,31.8,358,31,8.16,0.65,26,14,179,8.6,2.21,13.5,69.2,15.6,15.2,sorghum
Arid_Soil,Semi-arid,19.6,328,38,8.24,0.24,54,27,160,10.9,2.81,11.7,51.3,14.5,34.2,date_palm
Arid_Soil,Arid,30.7,234,30,7.86,0.68,51,18,131,8.0,0.88,6.0,67.7,20.3,12.0,millet
Arid_Soil,Semi-arid,23.9,475,37,8.26,0.24,31,13,169,10.5,2.79,16.2,57.3,10.0,32.7,sorghum
Arid_Soil,Semi-arid,29.5,551,53,7.49,0.42,60,27,87,10.0,3.46,17.8,46.0,30.6,23.4,barley
Arid_Soil,Arid,35.5,117,25,7.38,0.21,38,20,162,10.0,1.26,15.1,52.9,17.1,30.0,chickpea
Arid_Soil,Arid,22.4,220,20,8.05,0.37,61,18,106,13.2,3.19,6.1,72.4,17.8,9.8,millet
Arid_Soil,Semi-arid,26.9,355,39,7.7,0.23,24,24,65,9.2,2.66,6.2,61.9,27.8,10.3,date_palm
Arid_Soil,Arid,26.4,59,22,7.84,0.35,25,12,76,14.3,1.18,17.2,70.1,19.0,10.9,sorghum
Arid_Soil,Arid,23.4,220,33,8.06,0.35,70,22,129,7.4,2.75,6.9,59.9,8.4,31.7,barley
Arid_Soil,Arid,26.0,143,43,8.23,0.23,77,27,139,13.7,1.3,13.4,64.4,15.2,20.4,barley
Arid_Soil,Semi-arid,26.6,514,34,7.67,0.61,43,24,122,13.6,1.89,17.4,55.2,16.9,27.9,barley
Arid_Soil,Arid,24.5,138,27,7.93,0.27,45,8,142,9.4,2.49,7.3,63.0,23.8,13.2,barley
Arid_Soil,Arid,31.3,119,28,7.34,0.57,57,27,174,6.2,2.34,15.2,57.5,17.1,25.4,millet
Arid_Soil,Arid,28.1,248,15,7.83,0.61,51,15,60,14.8,1.98,7.6,65.8,17.5,16.7,cactus_fruit
Arid_Soil,Arid,37.5,140,23,8.4,0.33,49,15,124,14.8,1.14,9.6,54.2,11.6,34.2,millet
Arid_Soil,Semi-arid,30.9,413,36,8.39,0.44,36,12,65,9.1,0.71,11.9,77.2,11.6,11.2,barley
Arid_Soil,Semi-arid,24.1,307,41,7.95,0.21,74,18,134,6.1,3.29,9.2,70.7,13.1,16.2,cactus_fruit
Arid_Soil,Arid,28.1,116,18,7.24,0.22,37,25,132,14.4,2.06,12.4,54.4,23.4,22.2,sorghum
Arid_Soil,Semi-arid,34.7,283,55,8.28,0.16,80,14,139,6.3,2.83,15.6,63.7,19.2,17.1,sorghum
Arid_Soil,Semi-arid,25.7,558,33,8.45,0.36,66,15,149,9.8,1.35,12.0,62.6,24.6,12.8,sorghum
Arid_Soil,Semi-arid,33.1,300,41,7.44,0.59,50,14,130,8.4,3.3,7.4,60.9,17.8,21.3,millet
Arid_Soil,Semi-arid,20.1,578,52,7.46,0.29,27,21,100,10.0,1.05,7.2,79.8,6.8,13.4,sorghum
Arid_Soil,Arid,30.1,133,21,8.46,0.25,63,18,145,6.6,0.71,13.8,62.8,25.0,12.2,barley
Arid_Soil,Arid,31.7,109,17,7.72,0.25,60,16,82,8.4,2.42,10.7,57.5,28.7,13.8,chickpea
Arid_Soil,Arid,23.1,136,36,8.58,0.38,32,8,71,11.1,0.97,15.0,71.5,20.6,7.9,millet
Arid_Soil,Semi-arid,28.0,326,51,8.11,0.35,21,12,168,12.3,1.19,7.1,59.0,12.7,28.3,barley
Arid_Soil,Arid,22.7,196,16,7.21,0.54,40,30,174,12.8,1.97,11.8,66.8,20.4,12.8,millet
Arid_Soil,Arid,25.3,120,24,7.44,0.56,70,19,134,6.3,0.79,10.8,54.7,18.4,26.9,date_palm
Arid_Soil,Arid,36.9,78,28,8.17,0.62,76,27,104,11.1,0.8,8.0,53.2,38.7,8.1,barley
Arid_Soil,Arid,23.0,221,22,7.97,0.36,37,26,167,10.5,3.47,7.8,55.2,20.6,24.2,barley
Arid_Soil,Arid,31.4,142,25,7.63,0.25,49,27,104,7.3,3.13,13.2,49.1,28.6,22.3,barley
Arid_Soil,Arid,22.8,200,17,8.03,0.55,71,16,127,11.4,3.47,9.1,67.2,22.2,10.6,chickpea
Arid_Soil,Semi-arid,28.0,354,35,8.5,0.51,20,28,177,9.8,2.16,11.8,63.2,15.8,21.0,chickpea
Arid_Soil,Semi-arid,34.2,504,27,8.17,0.48,35,25,67,12.5,2.3,9.9,66.7,14.8,18.5,cactus_fruit
Arid_Soil,Arid,31.7,146,32,7.27,0.34,70,27,130,11.3,2.51,14.6,58.7,22.2,19.1,chickpea
Arid_Soil,Semi-arid,28.7,328,47,8.36,0.46,78,21,95,10.0,3.11,14.7,45.6,41.4,13.0,sorghum
Arid_Soil,Semi-arid,19.9,368,49,7.74,0.56,40,26,157,7.0,2.37,17.5,60.3,12.8,26.9,millet
Arid_Soil,Semi-arid,18.6,489,54,8.36,0.27,71,9,132,14.4,2.14,13.7,72.6,15.6,11.8,barley
Arid_Soil,Arid,25.9,83,32,7.72,0.48,77,14,170,7.4,3.25,16.8,72.6,19.4,8.0,millet
Arid_Soil,Arid,28.8,52,30,7.91,0.36,51,15,160,10.7,1.69,17.6,71.2,18.0,10.8,millet
Arid_Soil,Arid,22.5,102,29,7.24,0.47,35,22,142,12.7,2.1,13.2,59.7,17.3,23.0,barley
Arid_Soil,Arid,31.8,174,36,8.4,0.17,28,29,106,13.5,0.82,8.3,51.8,23.9,24.3,cactus_fruit
Arid_Soil,Arid,24.2,109,42,7.32,0.34,21,29,174,14.6,1.79,14.0,82.4,9.2,8.4,date_palm
Arid_Soil,Semi-arid,32.7,422,48,7.58,0.4,38,12,105,13.4,3.22,16.5,46.0,27.7,26.3,sorghum
Arid_Soil,Semi-arid,19.5,424,52,8.08,0.41,72,12,111,10.2,1.21,15.9,47.2,25.7,27.1,date_palm
Arid_Soil,Semi-arid,30.0,546,55,7.79,0.59,44,25,68,14.3,1.74,12.8,57.9,29.0,13.1,chickpea
Arid_Soil,Arid,23.3,165,29,8.06,0.37,47,14,108,10.2,2.29,12.0,49.0,33.5,17.5,chickpea
Arid_Soil,Semi-arid,31.3,334,45,7.56,0.41,30,29,107,13.9,3.46,16.5,63.3,18.3,18.4,cactus_fruit
Arid_Soil,Arid,34.8,144,42,7.52,0.2,43,20,137,14.7,1.32,9.0,59.7,25.7,14.6,cactus_fruit
Arid_Soil,Arid,28.4,132,20,8.24,0.57,38,11,79,14.0,0.61,9.6,58.6,22.7,18.7,sorghum
Arid_Soil,Arid,37.2,85,38,7.7,0.57,44,12,84,7.7,2.04,6.4,57.3,12.4,30.3,chickpea
Arid_Soil,Arid,31.5,181,43,7.34,0.29,21,9,131,10.0,2.56,16.1,58.2,22.0,19.8,sorghum
Arid_Soil,Arid,26.7,77,19,7.34,0.48,77,13,102,7.9,2.61,14.2,66.8,5.2,28.0,chickpea
Arid_Soil,Arid,33.3,121,35,8.28,0.7,20,19,133,11.4,0.95,8.9,52.6,30.1,17.3,chickpea
Arid_Soil,Semi-arid,23.1,459,38,8.49,0.27,23,23,142,6.5,3.37,17.8,39.8,38.7,21.5,barley
Arid_Soil,Semi-arid,30.3,475,44,7.58,0.32,57,9,83,9.9,1.87,8.9,63.7,20.1,16.2,cactus_fruit
Arid_Soil,Arid,27.8,202,43,8.13,0.36,68,12,150,10.1,1.8,12.3,74.0,8.5,17.5,millet
Arid_Soil,Semi-arid,26.2,257,32,7.37,0.23,27,14,77,10.8,0.6,7.9,65.9,22.8,11.3,date_palm
Arid_Soil,Arid,24.6,246,34,8.05,0.69,44,24,70,14.8,1.19,13.5,55.2,16.2,28.6,millet
Arid_Soil,Arid,38.6,164,36,7.41,0.42,29,23,74,7.4,1.31,16.3,71.0,16.0,13.0,chickpea
Arid_Soil,Semi-arid,28.6,378,46,8.03,0.22,47,29,128,13.9,2.53,11.7,81.3,8.8,9.9,millet
Arid_Soil,Semi-arid,25.5,364,49,8.54,0.63,76,11,71,7.3,3.25,12.2,61.4,13.3,25.3,barley
Arid_Soil,Semi-arid,23.8,349,42,7.46,0.38,67,12,138,7.2,3.3,12.1,66.4,3.5,30.1,barley
Arid_Soil,Arid,23.2,98,17,7.97,0.2,32,22,133,13.4,1.5,12.6,55.4,31.4,13.2,millet
Arid_Soil,Arid,35.4,67,38,8.03,0.17,68,15,69,12.8,1.45,16.7,71.0,12.5,16.5,barley
Arid_Soil,Semi-arid,26.5,450,34,7.4,0.26,71,27,60,9.4,2.89,6.8,57.4,16.0,26.6,barley
Arid_Soil,Arid,38.6,203,28,8.25,0.69,56,12,115,11.8,3.26,9.0,52.9,15.6,31.5,barley
Arid_Soil,Arid,32.8,138,22,8.44,0.32,24,18,170,7.6,2.72,11.4,79.1,15.8,5.1,sorghum
Arid_Soil,Arid,26.8,94,18,8.12,0.57,44,26,152,8.8,1.2,11.4,55.0,30.8,14.2,date_palm
Arid_Soil,Arid,25.1,241,21,8.54,0.56,37,22,67,9.0,2.47,8.2,51.0,37.1,11.9,chickpea
Arid_Soil,Arid,26.9,105,20,7.67,0.3,61,26,114,7.7,1.16,12.5,56.5,12.8,30.7,sorghum
Arid_Soil,Semi-arid,33.2,270,48,7.73,0.28,56,11,116,6.6,3.0,13.7,48.9,9.1,42.0,cactus_fruit
Arid_Soil,Arid,28.0,64,17,8.48,0.29,80,25,178,14.7,1.01,14.6,68.0,11.2,20.8,cactus_fruit
Arid_Soil,Arid,39.7,186,16,8.41,0.32,62,8,64,14.4,1.35,11.9,69.9,17.6,12.5,date_palm
Arid_Soil,Arid,32.0,190,34,7.74,0.43,50,21,71,7.4,3.3,15.1,69.7,16.1,14.2,date_palm
Arid_Soil,Arid,28.3,190,39,8.03,0.19,71,25,90,6.1,1.41,10.0,67.5,16.8,15.7,millet
Arid_Soil,Semi-arid,26.7,404,28,7.93,0.16,41,19,79,7.2,3.37,9.4,53.0,10.7,36.3,chickpea
Arid_Soil,Semi-arid,32.4,558,39,8.56,0.43,45,14,174,6.3,2.93,7.2,61.0,23.0,16.0,date_palm
Arid_Soil,Arid,25.4,203,44,7.4,0.68,49,15,131,11.8,2.66,14.4,66.5,15.8,17.7,sorghum
Arid_Soil,Arid,25.4,178,34,7.79,0.15,28,17,116,12.5,2.28,11.9,50.0,34.8,15.2,sorghum
Arid_Soil,Arid,40.0,194,16,7.29,0.12,41,18,132,6.6,3.31,17.2,56.7,26.1,17.2,date_palm
Arid_Soil,Arid,29.8,192,39,8.05,0.61,76,17,71,10.6,1.25,17.3,78.5,14.2,7.3,millet
Arid_Soil,Semi-arid,24.1,538,30,7.34,0.4,71,18,141,13.2,2.31,15.3,74.6,7.6,17.8,sorghum
Arid_Soil,Arid,34.2,183,25,7.68,0.45,72,21,75,9.0,2.61,13.8,57.2,24.5,18.3,sorghum
Arid_Soil,Arid,38.5,141,44,7.6,0.62,39,19,171,11.0,1.19,14.2,53.2,28.4,18.4,sorghum
Arid_Soil,Semi-arid,34.7,276,28,8.17,0.49,71,9,123,10.7,3.23,16.5,65.1,16.4,18.5,date_palm
Arid_Soil,Semi-arid,23.4,331,44,8.3,0.13,70,9,162,13.7,1.59,13.9,55.3,28.7,16.0,sorghum
Arid_Soil,Semi-arid,35.7,337,27,7.99,0.3,47,15,113,11.4,1.37,8.3,70.7,20.0,9.3,chickpea
Arid_Soil,Semi-arid,28.1,250,26,8.59,0.57,20,14,173,14.1,0.66,15.5,73.5,12.5,14.0,cactus_fruit
Arid_Soil,Arid,39.4,138,28,7.97,0.35,42,20,143,13.4,3.24,17.2,47.9,29.5,22.6,date_palm
Arid_Soil,Semi-arid,21.8,424,43,7.2,0.61,46,20,133,7.2,2.97,14.6,53.5,16.5,30.0,millet
Arid_Soil,Semi-arid,26.9,533,45,7.59,0.68,56,24,75,14.7,3.26,15.1,47.3,38.6,14.1,millet
Arid_Soil,Semi-arid,25.8,288,30,8.37,0.39,80,19,65,6.1,1.97,8.0,53.1,13.1,33.8,sorghum
Arid_Soil,Semi-arid,22.1,366,39,7.87,0.7,29,10,89,13.8,2.2,10.1,48.8,7.9,43.3,barley
Arid_Soil,Arid,38.3,87,44,8.34,0.62,71,8,118,13.5,1.49,15.1,48.2,28.1,23.7,sorghum
Arid_Soil,Arid,35.8,208,27,8.21,0.65,74,26,180,10.4,2.86,9.5,46.2,31.7,22.1,sorghum
Arid_Soil,Semi-arid,25.9,350,29,7.9,0.23,43,18,173,6.0,1.02,9.0,47.9,28.8,23.3,millet
Arid_Soil,Arid,24.9,114,44,8.07,0.27,64,18,77,12.0,2.23,16.6,80.7,10.0,9.3,sorghum
Arid_Soil,Arid,36.8,93,39,7.95,0.27,70,24,63,13.3,1.11,6.6,65.8,16.6,17.6,cactus_fruit
Arid_Soil,Semi-arid,23.7,279,30,7.78,0.63,52,9,86,14.2,3.18,14.2,59.2,25.0,15.8,chickpea
Arid_Soil,Arid,28.2,208,41,7.65,0.44,32,14,93,6.5,2.74,8.1,72.7,4.6,22.7,chickpea
Arid_Soil,Semi-arid,28.8,282,41,8.25,0.35,37,14,131,6.2,1.85,16.6,55.1,24.0,20.9,barley
Arid_Soil,Semi-arid,33.6,515,55,8.26,0.61,22,28,160,12.6,2.93,17.2,47.2,42.8,10.0,sorghum
Arid_Soil,Semi-arid,30.8,515,53,8.47,0.44,60,21,169,14.8,1.34,14.7,69.3,18.3,12.4,barley
Arid_Soil,Arid,37.8,112,21,7.32,0.41,30,25,114,12.8,1.95,10.1,77.3,10.2,12.5,barley
Arid_Soil,Semi-arid,32.2,429,35,8.13,0.48,59,29,104,12.1,2.97,15.5,72.5,12.4,15.1,chickpea
Arid_Soil,Arid,31.4,236,44,7.38,0.31,78,22,144,8.0,1.54,6.3,53.5,27.7,18.8,chickpea
Arid_Soil,Semi-arid,23.6,312,26,7.42,0.5,68,22,134,13.2,2.25,7.7,46.7,8.8,44.5,barley
Arid_Soil,Arid,33.3,158,16,8.21,0.43,77,14,92,9.0,3.31,13.5,51.2,27.6,21.2,sorghum
Arid_Soil,Arid,27.1,187,34,8.11,0.46,22,30,167,12.6,2.65,8.8,53.4,27.6,19.0,barley
Arid_Soil,Semi-arid,30.7,279,39,7.24,0.51,51,8,101,14.5,1.54,12.8,46.6,39.1,14.3,barley
Arid_Soil,Semi-arid,18.0,584,26,7.79,0.53,51,29,116,10.2,3.43,6.5,61.0,11.1,27.9,chickpea
Arid_Soil,Semi-arid,29.2,359,37,7.39,0.22,63,17,77,13.3,2.64,12.4,58.5,12.2,29.3,chickpea
Arid_Soil,Arid,29.1,111,31,7.96,0.5,67,17,119,13.8,1.6,17.1,70.3,20.6,9.1,chickpea
Arid_Soil,Semi-arid,18.6,424,33,7.68,0.49,33,17,120,6.8,0.81,8.2,73.9,8.5,17.6,barley
Arid_Soil,Semi-arid,35.3,581,46,7.3,0.46,32,30,76,7.0,1.75,9.8,50.6,24.1,25.3,millet
